pm10,pm2_5,co,no2,o3,so2
65.0,63.0,5.049999999999999,7.4,16.5,4.35
73.0,159.0,8.2,10.6,8.2,6.1
49.0,57.0,3.7,6.4,5.1,5.6
40.0,89.0,6.4,6.9,2.0,5.1
26.0,78.0,5.5,7.4,2.85,4.6
50.0,68.0,5.5,5.5,3.7,6.6
25.0,61.0,0.1,1.4,42.3,2.6
80.0,89.0,4.6,5.1,45.95,4.6
61.0,87.0,4.6,7.4,49.6,3.1
61.0,139.0,5.5,9.6,34.2,4.6
59.666666666666664,109.5,0.7,0.6,31.1,2.2
58.333333333333336,80.0,3.3600000000000003,6.68,28.000000000000004,8.16
57.0,57.0,6.0200000000000005,12.76,24.900000000000002,14.120000000000001
55.666666666666664,156.0,8.68,18.840000000000003,21.800000000000004,20.08
54.333333333333336,61.0,11.34,24.92,18.700000000000003,26.04
53.0,59.0,14.0,31.0,15.600000000000001,32.0
7.0,77.0,14.700000000000001,3.7,12.500000000000004,11.7
34.0,95.0,15.4,11.8,9.400000000000002,7.35
61.0,62.0,16.1,19.9,6.3,3.0
21.0,59.0,9.55,15.95,8.0,1.0
33.0,56.0,3.0,12.0,7.0,1.8
63.0,53.0,0.1,8.3,17.266666666666666,2.6
65.5,70.0,1.3800000000000001,5.550000000000001,27.53333333333333,3.5999999999999996
68.0,78.0,2.66,2.8,37.8,4.6
53.0,4.0,3.94,3.8666666666666663,28.299999999999997,3.933333333333333
38.0,74.0,5.22,4.933333333333334,18.8,3.2666666666666666
23.0,64.0,6.5,6.0,9.3,2.6
28.0,68.0,2.2,16.2,1.6,5.700000000000001
29.0,56.0,2.6,19.6,33.1,8.8
29.0,56.0,3.0,19.6,33.1,8.8
13.0,31.0,3.4,19.400000000000002,30.28571428571429,6.3
17.666666666666668,73.0,7.199999999999999,19.2,27.47142857142857,12.149999999999999
22.333333333333336,53.0,11.0,19.0,24.65714285714286,18.0
27.0,43.0,8.5,65.0,21.84285714285714,9.0
39.5,42.0,6.0,31.0,19.02857142857143,8.0
52.0,72.0,3.05,32.25,16.214285714285715,4.3
23.0,45.0,0.1,33.5,13.4,0.6
20.0,27.0,1.2,1.0,19.2,0.7
11.0,38.0,1.5,3.8,8.0,0.8
9.0,13.0,1.7,5.1,8.35,0.7000000000000001
23.0,48.0,1.9000000000000001,6.4,8.7,0.6000000000000001
23.0,8.0,2.1,3.7,9.05,0.5
13.5,11.5,2.9000000000000004,3.3,9.4,0.4
4.0,15.0,3.7,2.9,4.6,0.3
1.0,5.0,3.7,1.95,7.8,1.6
10.0,15.0,3.7,1.0,11.0,2.9
76.0,186.0,3.7,173.0,5.4,4.2
14.0,102.0,2.8,1.9,12.649999999999999,2.6500000000000004
16.0,18.0,0.1,10.6,19.9,1.1
14.0,16.5,2.8,1.9,20.45,3.0999999999999996
12.666666666666666,15.0,6.4,3.7,21.0,5.1
11.333333333333334,18.0,0.1,9.7,2.9,2.65
10.0,17.0,1.9,5.1,30.4,0.2
8.666666666666668,13.0,2.65,6.1,24.0,0.23333333333333334
7.333333333333334,21.0,3.4,7.1,17.6,0.26666666666666666
6.0,13.0,2.3,9.3,16.8,0.3
26.0,44.0,1.3,16.700000000000003,13.0,0.1
13.0,38.0,5.6,24.1,8.0,0.2
12.25,42.0,4.7749999999999995,30.2,13.2,0.25
11.5,27.5,3.9499999999999997,2.5,18.4,0.3
10.75,13.0,3.125,2.5,6.4,0.2
10.0,18.0,2.3,4.7,24.8,0.4
6.0,21.0,2.3,4.2,11.4,0.6
6.857142857142857,8.0,1.75,2.8,22.75,0.7
7.714285714285714,18.0,1.2,1.4,34.1,0.8
8.571428571428571,10.0,1.5499999999999998,2.75,33.05,0.5
9.428571428571429,17.0,1.9,4.1,32.0,0.2
10.285714285714285,53.0,90.15,3.4,24.8,0.54
11.142857142857142,8.0,178.4,2.7,17.6,0.8799999999999999
12.0,29.0,134.325,2.45,15.766666666666667,1.22
15.333333333333334,32.0,90.25,2.2,13.933333333333334,1.5599999999999998
18.666666666666668,55.0,46.17499999999998,1.95,12.1,1.9
22.0,30.0,2.1,1.7,47.2,0.3
23.0,17.0,2.3,9.3,31.2,0.6000000000000001
24.0,21.0,0.1,6.6,7.4,0.9
16.0,28.0,4.6,0.6,12.2,0.1
6.0,21.0,2.3,4.2,11.4,0.6
9.0,21.0,0.1,0.7,11.4,0.1
9.166666666666666,46.0,5.0,32.5,0.1,1.5
9.333333333333334,21.0,5.0,7.1,21.6,0.2
9.5,14.5,3.0,4.1,14.1,0.15000000000000002
9.666666666666666,8.0,1.0,1.1,14.2,0.1
9.833333333333334,15.0,6.4,3.7,21.0,5.1
10.0,20.0,12.7,1.6,24.5,1.0
22.0,50.0,8.866666666666665,7.5,28.0,0.9
21.0,4.0,5.033333333333332,4.25,23.6,0.8
20.0,27.0,1.2,1.0,19.2,0.7
