pm10,pm2_5,co,no2,o3,so2
4.0,15.0,3.7,2.9,4.6,0.3
1.0,5.0,1.8599999999999999,15.1,27.839999999999996,2.8
10.0,15.0,0.34,1.0,11.0,1.1400000000000001
76.0,186.0,3.7,173.0,5.4,4.2
14.0,27.4,2.8,1.9,17.48,1.02
16.0,18.0,0.1,10.6,19.9,1.1
14.0,27.4,2.8,1.9,17.48,1.02
11.0,15.0,6.4,3.7,21.0,5.1
15.8,18.0,0.1,9.7,2.9,8.96
10.8,17.0,1.9,5.1,30.4,0.2
8.4,13.0,2.2,5.159999999999999,25.04,1.1400000000000001
13.4,21.0,3.4,7.1,17.6,1.06
6.0,13.0,2.3,9.3,16.8,0.3
26.0,44.0,1.3,23.66,13.0,0.1
13.0,38.0,5.6,24.1,8.0,0.2
19.8,42.0,2.18,30.2,21.12,1.6999999999999997
12.8,14.2,36.68,2.5,18.4,0.3
11.4,13.0,2.8,2.5,6.4,0.2
10.0,18.0,2.3,4.7,24.8,2.96
6.0,21.0,2.3,4.2,11.4,0.6
11.8,8.0,37.0,4.999999999999999,22.32,0.18000000000000002
9.6,18.0,1.2,1.4,34.1,0.8
11.4,10.0,4.9399999999999995,16.240000000000002,6.42,0.27999999999999997
11.6,17.0,1.9,4.1,32.0,0.2
25.2,53.0,6.7,19.68,27.520000000000003,2.02
10.2,8.0,178.4,2.7,17.6,3.2
12.0,29.0,6.68,8.72,13.719999999999999,1.2399999999999998
14.0,32.0,2.0,8.86,15.2,0.62
35.2,55.0,3.72,6.859999999999999,12.1,1.9
22.0,30.0,2.1,1.7,47.2,0.3
11.8,17.0,2.3,9.3,31.2,0.5200000000000001
24.0,21.0,0.1,6.6,7.4,0.9
16.0,28.0,4.6,0.6,12.2,0.1
6.0,21.0,2.3,4.2,11.4,0.6
9.0,21.0,0.1,0.7,11.4,0.1
35.4,46.0,5.0,32.5,0.1,1.5
13.4,21.0,5.0,7.1,21.6,0.2
11.2,23.4,6.6,4.859999999999999,14.1,0.64
7.4,8.0,1.0,1.1,14.2,0.1
11.0,15.0,6.4,3.7,21.0,5.1
10.0,20.0,12.7,1.6,20.98,1.0
22.0,50.0,2.3200000000000003,7.5,28.0,1.04
3.0,4.0,0.76,4.16,15.440000000000001,0.8800000000000001
20.0,27.0,1.2,1.0,19.2,1.06
23.0,45.0,0.1,33.5,13.4,0.6
34.0,17.0,3.2399999999999998,13.8,16.119999999999997,7.6
4.0,9.0,37.040000000000006,3.5599999999999996,22.76,0.44000000000000006
10.0,25.0,0.1,3.7,25.6,3.38
11.0,30.0,0.1,5.1,24.419999999999998,1.3199999999999998
9.0,64.0,2.5,2.3,29.3,12.6
13.6,34.0,0.1,4.9799999999999995,16.8,1.7
17.0,35.0,3.1,10.8,22.9,0.2
20.0,38.0,0.1,7.2,20.3,5.040000000000001
22.0,33.0,0.1,7.4,21.6,1.06
2.0,17.2,0.1,1.1,27.839999999999996,1.26
7.0,8.0,36.78,1.98,28.28,2.8199999999999994
11.0,18.0,2.6,1.6,30.2,0.3
12.0,30.0,0.1,5.1,22.4,1.6
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
23.0,64.0,6.5,6.0,9.3,2.6
13.0,35.0,0.6,2.02,19.24,0.1
16.0,34.0,2.3,1.9,42.4,1.5
18.8,61.0,2.8,9.72,35.86,4.359999999999999
22.2,44.0,3.0,11.5,0.1,40.6
84.6,156.0,6.919999999999999,10.040000000000001,51.3,6.82
13.0,31.0,3.4,1.9,15.540000000000001,6.3
8.2,1.0,0.8800000000000001,0.6,28.9,2.04
76.0,186.0,3.7,173.0,5.4,4.2
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
25.0,23.0,5.7,2.4,39.8,1.7
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
37.8,80.0,5.14,9.1,41.17999999999999,4.4
31.0,52.0,0.1,28.240000000000002,20.72,0.8400000000000001
12.0,19.0,4.459999999999999,4.08,23.9,0.33999999999999997
31.0,52.0,0.1,28.240000000000002,20.72,0.8400000000000001
17.4,64.0,6.5,4.5200000000000005,17.3,4.6
12.0,19.0,4.459999999999999,4.08,23.9,0.33999999999999997
76.0,186.0,3.7,173.0,5.4,4.2
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
10.6,25.0,2.3,5.3,21.6,1.5
11.4,13.0,2.8,2.5,6.4,0.2
11.8,8.0,37.0,4.999999999999999,22.32,0.18000000000000002
18.0,49.0,1.9,7.6,21.5,0.7
69.2,90.0,4.42,7.9,31.28,3.8
23.0,8.0,2.1,3.7,22.9,0.26
14.0,23.6,4.8,20.7,13.2,1.6
40.8,102.0,2.04,6.4,22.12,2.3599999999999994
5.0,9.0,0.1,4.2,27.3,1.6
10.6,8.0,0.7,0.6,18.499999999999996,2.2
10.0,20.0,3.0,4.0,26.8,0.2
10.0,26.2,1.1999999999999997,4.0,16.64,11.0
10.0,20.0,3.0,4.0,26.8,0.2
20.0,24.0,7.1,42.5,0.8,0.7
20.0,42.0,1.12,9.2,19.7,4.4
20.4,57.0,2.78,4.380000000000001,35.2,2.44
34.0,17.0,3.2399999999999998,13.8,16.119999999999997,7.6
35.2,55.0,3.72,6.859999999999999,12.1,1.9
19.0,40.0,0.54,7.3,17.9,3.7600000000000002
89.6,95.0,3.06,4.700000000000001,11.6,11.9
18.8,61.0,2.8,9.72,35.86,4.359999999999999
20.0,38.0,0.1,6.9,24.0,0.6
11.0,34.0,0.2,6.1,26.4,0.7
15.0,34.0,2.8,2.8,40.7,3.1
35.0,70.0,4.4,18.9,3.2,3.5
10.0,21.0,0.1,2.8,28.1,2.78
17.0,39.0,1.3,10.2,20.2,3.6800000000000006
5.0,13.0,1.3399999999999999,3.2,27.3,2.6599999999999997
10.0,42.0,2.0,3.1,0.7,0.1
16.0,13.0,3.7599999999999993,6.4,24.8,0.4
6.0,13.0,2.3,9.3,16.8,0.3
17.0,57.0,2.2,10.6,20.4,0.6
7.0,17.0,1.94,3.7,28.1,0.6
9.0,13.0,3.7599999999999993,3.8,22.900000000000002,0.54
14.0,27.4,2.8,1.9,17.48,1.02
20.4,57.0,2.78,4.380000000000001,35.2,2.44
10.4,26.6,0.9799999999999999,2.5799999999999996,11.4,0.34
15.0,35.0,1.4,8.6,22.179999999999996,1.6
18.4,33.0,3.0599999999999996,7.519999999999999,21.6,0.2
46.0,70.0,7.9,24.5,63.6,5.0
18.0,50.0,8.8,5.5,9.9,3.4
6.0,6.0,2.0799999999999996,3.78,20.919999999999998,2.7399999999999998
19.0,24.0,3.6799999999999997,14.48,36.1,0.7600000000000001
4.0,11.0,1.2,5.6,16.0,1.8
12.0,23.0,2.7,2.3,31.0,0.4
11.0,27.0,1.2,9.7,28.9,0.8
79.0,117.0,3.7,6.1,63.3,6.3
23.0,55.0,2.0,12.5,18.78,13.040000000000001
28.0,62.0,1.6999999999999997,23.9,23.3,1.06
17.0,26.0,0.76,13.280000000000001,11.84,0.2
23.0,55.0,2.0,12.5,18.78,13.040000000000001
16.0,30.0,0.3,1.4,29.9,0.3
6.6,17.0,0.78,1.0,26.4,1.5
24.0,55.0,0.1,18.3,16.660000000000004,0.5
15.0,10.0,6.7,20.5,0.8,0.3
17.0,36.0,0.1,19.2,16.4,0.5
15.0,53.0,4.5,6.5,42.4,1.5
14.6,35.0,0.2,9.86,8.2,1.8599999999999999
17.0,49.0,0.5599999999999999,1.5,16.86,1.48
60.0,55.0,3.4,3.1,17.34,0.9399999999999998
13.6,34.0,0.1,4.9799999999999995,16.8,1.7
16.0,34.0,0.7,8.3,21.2,1.18
20.4,57.0,2.78,4.380000000000001,35.2,2.44
13.0,16.0,0.1,11.5,27.0,2.6
32.0,72.0,2.08,2.8,19.2,3.8
9.4,9.0,2.7,2.8,28.1,3.46
7.4,8.0,1.0,1.1,14.2,0.1
12.0,30.0,0.1,4.6,22.4,1.6
56.0,120.0,0.1,42.0,20.499999999999996,2.6
33.0,80.0,5.5,11.9,24.52,5.1
17.2,25.0,36.96,2.5,20.0,0.3
11.0,75.0,6.7,44.0,6.2,1.8
13.0,30.0,0.6,23.240000000000002,22.419999999999998,2.9
9.0,18.0,0.1,0.5,11.4,0.2
17.2,25.0,36.96,2.5,20.0,0.3
13.0,30.0,0.6,23.240000000000002,22.419999999999998,2.9
39.0,72.0,2.8,33.0,2.0,1.1
22.0,27.0,4.779999999999999,1.1,3.7,0.4
23.0,21.0,5.7,2.4,40.1,3.2199999999999998
51.8,122.0,3.4800000000000004,107.28,5.3,2.72
78.8,161.0,9.820000000000002,14.780000000000001,72.9,6.519999999999999
60.0,120.0,2.08,35.160000000000004,57.14,6.16
96.2,93.0,2.62,3.9,18.8,10.580000000000002
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
13.2,34.0,2.1799999999999997,4.3,27.7,2.1399999999999997
23.0,64.0,6.5,6.0,9.3,2.6
7.0,13.0,2.1399999999999997,20.4,15.1,2.1
4.0,13.0,0.1,1.7999999999999996,32.7,1.0
12.0,33.0,0.74,3.1,29.4,0.6
18.0,49.0,1.9,7.6,21.5,0.7
13.0,25.0,2.6599999999999997,6.1,19.7,2.3
20.0,42.0,1.2799999999999998,26.160000000000004,21.6,1.8400000000000005
17.0,45.0,0.9199999999999999,8.4,28.6,0.9999999999999998
10.0,21.0,0.1,5.5,24.4,0.6
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
11.0,41.0,1.5,3.8,8.0,0.8
21.0,53.0,10.0,34.3,6.4,1.5
26.0,40.0,1.0,3.8600000000000003,13.0,0.1
11.0,30.0,0.1,17.0,18.36,7.339999999999999
12.0,19.0,4.459999999999999,4.08,23.9,0.33999999999999997
11.0,15.0,6.4,3.7,21.0,5.1
110.0,93.0,1.3,1.6,11.6,14.9
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
9.4,12.0,1.5,3.7800000000000002,22.5,8.78
6.2,5.0,1.42,12.14,28.640000000000004,2.74
12.0,25.0,4.9,20.8,20.22,1.8
17.0,26.0,1.2,15.8,6.4,0.9799999999999999
7.8,13.0,0.8,3.1,31.2,0.2
22.0,55.0,0.1,16.0,17.5,1.1
7.0,18.0,2.3,1.0,25.48,0.6
17.0,61.0,0.1,22.3,45.6,5.8
12.2,13.0,5.0,5.2,24.1,0.2
32.0,52.0,0.1,33.6,20.5,0.6
23.0,48.0,1.06,6.4,19.28,0.5
29.6,23.2,3.2,12.18,32.8,4.46
8.0,5.0,1.2,4.7,28.1,5.359999999999999
8.2,1.0,0.8800000000000001,0.6,28.9,2.04
34.0,99.0,1.56,5.0,25.2,0.7
28.6,29.0,7.5,13.24,4.3,1.4
3.0,4.0,0.1,0.2,10.5,0.4
29.0,56.0,5.6,28.2,4.8,0.2
20.0,55.0,2.2600000000000002,12.4,22.8,0.8800000000000001
12.0,16.0,2.06,6.5,0.1,0.8800000000000001
1.0,5.0,2.3,18.6,29.4,3.4
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
20.0,38.0,1.1400000000000001,7.5,12.8,3.4800000000000004
13.4,21.0,3.4,7.1,17.6,1.06
28.0,68.0,2.2,16.2,1.6,10.92
5.0,99.0,1.9,7.8,13.0,5.52
19.8,38.0,1.06,30.6,10.6,0.68
12.0,25.0,5.9,29.1,27.4,3.9
40.0,76.0,6.4,18.8,45.5,4.1
20.0,27.0,1.2,1.0,18.4,1.06
29.0,56.0,0.1,19.6,33.1,8.8
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
9.0,1.0,3.4,9.3,37.6,1.5
10.8,17.0,1.9,4.2,30.4,0.2
16.0,30.0,2.1,1.7,47.2,0.3
11.0,23.0,0.1,9.2,1.7,2.04
19.4,48.0,0.1,7.0,3.9,0.5
11.0,34.0,0.1,4.6,18.58,2.6599999999999993
48.0,39.0,0.1,10.3,12.0,2.0
20.638004246284503,37.33084947839046,3.377633289986996,10.045,22.907055870445344,2.4428378378378377
11.2,23.4,6.6,4.859999999999999,14.1,0.64
64.0,95.0,5.5,6.4,24.8,5.1
85.0,89.0,3.7,9.6,47.6,3.1
10.0,1.0,3.4,7.5,36.8,4.3
15.0,35.0,0.1,10.7,17.979999999999997,2.3
24.0,42.0,2.2399999999999998,26.9,16.7,0.82
10.0,20.0,3.0,4.0,26.8,0.2
49.0,62.0,3.88,14.7,14.7,0.6
34.0,17.0,3.2399999999999998,13.8,16.119999999999997,7.6
18.8,61.0,2.8,9.72,35.86,4.359999999999999
23.0,21.0,5.7,2.4,40.1,3.2199999999999998
35.0,70.0,4.4,18.9,3.9,3.5
16.0,13.0,3.7599999999999993,6.4,24.8,0.4
10.0,20.0,12.7,1.6,20.98,1.0
18.4,33.0,3.0599999999999996,7.519999999999999,21.6,0.2
15.4,38.0,2.7199999999999998,10.74,14.7,1.64
18.0,50.0,8.8,5.5,9.9,3.4
