pm10,pm2_5,co,no2,o3,so2
76.0,186.0,3.7,173.0,5.4,4.2
14.0,30.0,2.8,1.9,21.6,1.5
16.0,18.0,0.1,10.6,19.9,1.1
14.0,30.0,2.8,1.9,21.6,1.5
16.0,15.0,6.4,3.7,21.0,5.1
16.0,18.0,0.1,9.7,2.9,1.5
16.0,17.0,1.9,5.1,30.4,0.2
16.0,13.0,2.3,6.5,21.6,1.5
16.0,21.0,3.4,7.1,17.6,1.5
6.0,13.0,2.3,9.3,16.8,0.3
26.0,44.0,1.3,6.5,13.0,0.1
13.0,38.0,5.6,24.1,8.0,0.2
16.0,42.0,2.3,30.2,21.6,1.5
16.0,30.0,2.3,2.5,18.4,0.3
16.0,13.0,2.3,2.5,6.4,0.2
10.0,18.0,2.3,4.7,24.8,1.5
6.0,21.0,2.3,4.2,11.4,0.6
16.0,8.0,2.3,6.5,21.6,1.5
16.0,18.0,1.2,1.4,34.1,0.8
16.0,10.0,2.3,6.5,21.6,1.5
16.0,17.0,1.9,4.1,32.0,0.2
16.0,53.0,2.3,6.5,21.6,1.5
16.0,8.0,178.4,2.7,17.6,1.5
12.0,29.0,2.3,6.5,21.6,1.5
16.0,32.0,2.3,6.5,21.6,1.5
16.0,55.0,2.3,6.5,12.1,1.9
22.0,30.0,2.1,1.7,47.2,0.3
16.0,17.0,2.3,9.3,31.2,1.5
24.0,21.0,0.1,6.6,7.4,0.9
16.0,28.0,4.6,0.6,12.2,0.1
6.0,21.0,2.3,4.2,11.4,0.6
9.0,21.0,0.1,0.7,11.4,0.1
16.0,46.0,5.0,32.5,0.1,1.5
16.0,21.0,5.0,7.1,21.6,0.2
16.0,30.0,2.3,6.5,14.1,1.5
16.0,8.0,1.0,1.1,14.2,0.1
16.0,15.0,6.4,3.7,21.0,5.1
10.0,20.0,12.7,1.6,21.6,1.0
22.0,50.0,2.3,7.5,28.0,1.5
16.0,4.0,2.3,6.5,21.6,1.5
20.0,27.0,1.2,1.0,19.2,1.5
23.0,45.0,0.1,33.5,13.4,0.6
34.0,17.0,2.3,13.8,21.6,7.6
4.0,9.0,2.3,6.5,21.6,1.5
10.0,25.0,0.1,3.7,25.6,1.5
11.0,30.0,0.1,5.1,21.6,1.5
9.0,64.0,2.3,2.3,29.3,12.6
16.0,34.0,2.3,6.5,16.8,1.5
17.0,35.0,3.1,10.8,22.9,0.2
20.0,38.0,2.3,7.2,20.3,1.5
22.0,33.0,2.3,7.4,21.6,1.5
2.0,30.0,0.1,1.1,21.6,1.5
7.0,8.0,2.3,6.5,21.6,1.5
11.0,18.0,2.6,1.6,30.2,0.3
12.0,30.0,0.1,5.1,22.4,1.6
16.0,30.0,2.3,6.5,21.6,1.5
23.0,64.0,6.5,6.0,9.3,2.6
13.0,35.0,0.6,6.5,21.6,0.1
16.0,34.0,2.3,1.9,42.4,1.5
16.0,61.0,2.3,6.5,21.6,1.5
16.0,30.0,3.0,11.5,0.1,40.6
16.0,156.0,2.3,6.5,21.6,1.5
13.0,31.0,3.4,6.5,21.6,6.3
16.0,1.0,2.3,0.6,28.9,1.5
76.0,186.0,3.7,173.0,5.4,4.2
16.0,30.0,2.3,6.5,21.6,1.5
25.0,23.0,5.7,2.4,39.8,1.5
16.0,30.0,2.3,6.5,21.6,1.5
16.0,80.0,2.3,6.5,21.6,1.5
16.0,52.0,2.3,6.5,21.6,1.5
16.0,19.0,2.3,6.5,21.6,1.5
16.0,52.0,2.3,6.5,21.6,1.5
16.0,64.0,2.3,6.5,21.6,1.5
16.0,19.0,2.3,6.5,21.6,1.5
76.0,186.0,3.7,173.0,5.4,4.2
16.0,30.0,2.3,6.5,21.6,1.5
16.0,30.0,2.3,6.5,21.6,1.5
16.0,25.0,2.3,5.3,21.6,1.5
16.0,13.0,2.3,2.5,6.4,0.2
16.0,8.0,2.3,6.5,21.6,1.5
18.0,49.0,1.9,7.6,21.5,0.7
16.0,90.0,2.3,6.5,21.6,1.5
23.0,8.0,2.1,3.7,21.6,1.5
14.0,30.0,4.8,20.7,13.2,1.6
16.0,102.0,2.3,6.5,21.6,1.5
5.0,9.0,0.1,4.2,27.3,1.6
16.0,30.0,0.7,0.6,21.6,2.2
10.0,20.0,3.0,4.0,26.8,0.2
10.0,30.0,2.3,4.0,21.6,11.0
10.0,20.0,3.0,4.0,26.8,0.2
20.0,24.0,7.1,42.5,0.8,0.7
20.0,42.0,2.3,9.2,21.6,1.5
16.0,57.0,2.3,6.5,21.6,1.5
34.0,17.0,2.3,13.8,21.6,7.6
16.0,55.0,2.3,6.5,12.1,1.9
19.0,40.0,2.3,7.3,21.6,1.5
16.0,95.0,2.3,6.5,21.6,1.5
16.0,61.0,2.3,6.5,21.6,1.5
20.0,38.0,0.1,6.9,24.0,0.6
11.0,34.0,2.3,6.1,26.4,0.7
15.0,34.0,2.8,2.8,40.7,3.1
35.0,70.0,4.4,18.9,3.2,3.5
10.0,21.0,0.1,2.8,28.1,1.5
