pm10,pm2_5,co,no2,o3,so2,cluster
12.0,55.0,,,12.1,1.9,4
22.0,30.0,2.1,1.7,47.2,0.3,1
22.0,17.0,2.3,9.3,31.2,1.1000000000000016,1
24.0,21.0,0.1,6.6,7.4,0.9,2
16.0,28.0,4.6,0.6,12.2,0.1,2
6.0,21.0,2.3,4.2,11.4,0.6,2
9.0,21.0,0.1,0.7,11.4,0.1,2
7.5,46.0,5.0,32.5,0.1,1.5,4
9.0,21.0,5.0,7.1,21.6,0.2,1
,33.5,5.0,19.8,14.1,0.8500000000000018,2
,8.0,1.0,1.1,14.2,0.1,2
,15.0,6.4,3.7,21.0,5.1,1
10.0,20.0,12.7,1.6,17.599999999999998,1.0,2
22.0,50.0,9.55,7.5,28.0,3.0500000000000016,4
16.0,4.0,12.7,4.55,28.0,1.0,2
20.0,27.0,1.2,1.0,19.2,,4
23.0,45.0,0.1,33.5,13.4,0.6,4
34.0,17.0,0.6500000000000009,13.8,16.3,7.6,2
4.0,9.0,0.1,23.65,13.4,4.100000000000001,2
10.0,25.0,0.1,3.7,25.6,7.6,1
11.0,30.0,0.1,5.1,25.6,,2
9.0,64.0,0.1,2.3,29.3,12.6,4
10.0,34.0,0.1,3.6999999999999997,16.8,12.6,4
17.0,35.0,3.1,10.8,22.9,0.2,4
20.0,38.0,3.1,7.2,20.3,0.2,4
22.0,33.0,3.1,7.4,21.6,0.2,4
2.0,35.5,0.1,1.1,20.95,,2
7.0,8.0,0.1,4.25,21.6,,2
11.0,18.0,2.6,1.6,30.2,0.3,1
12.0,30.0,0.1,5.1,22.4,1.6,4
11.5,24.0,1.350000000000001,3.3499999999999996,26.299999999999997,0.9500000000000018,2
23.0,64.0,6.5,6.0,9.3,2.6,0
13.0,35.0,0.6,6.0,9.3,0.1,2
16.0,34.0,2.3,1.9,42.4,1.5,4
14.5,61.0,1.450000000000001,1.9,42.4,0.8000000000000018,0
16.0,47.5,3.0,11.5,0.1,40.6,2
,156.0,3.0,11.5,0.1,40.6,3
13.0,31.0,3.4,11.5,0.1,6.3,2
13.0,1.0,3.4,0.6,28.9,6.3,1
76.0,186.0,3.7,173.0,5.4,4.2,3
76.0,93.5,3.7,86.8,17.149999999999995,4.2,2
25.0,23.0,5.7,2.4,39.8,4.2,1
25.0,23.0,5.7,2.4,39.8,,2
25.0,80.0,5.7,2.4,39.8,,0
,52.0,,,,,4
,19.0,,,,,2
,52.0,,,,,4
,64.0,,,,,0
,19.0,,,,,2
76.0,186.0,3.7,173.0,5.4,4.2,3
76.0,102.5,3.7,173.0,5.4,4.2,2
76.0,186.0,3.7,173.0,5.4,4.2,2
,25.0,2.3,5.3,21.6,1.5,1
,13.0,2.3,2.5,6.4,0.2,2
,8.0,2.3,3.9,13.999999999999996,0.85,2
18.0,49.0,1.9,7.6,21.5,0.7,4
18.0,90.0,1.9,7.6,21.5,0.7,0
23.0,8.0,2.1,3.7,21.5,0.7,2
14.0,49.0,4.8,20.7,13.2,1.6,2
18.5,102.0,3.450000000000001,12.2,13.2,1.6,0
5.0,9.0,0.1,4.2,27.3,1.6,1
5.0,55.5,0.7,0.6,27.3,2.2,2
10.0,20.0,3.0,4.0,26.8,0.2,1
10.0,20.0,1.8500000000000003,4.0,26.8,11.0,2
10.0,20.0,3.0,4.0,26.8,0.2,1
20.0,24.0,7.1,42.5,0.8,0.7,2
20.0,42.0,5.050000000000001,9.2,13.799999999999997,0.4500000000000002,4
20.0,57.0,7.1,25.85,0.8,0.7,0
34.0,17.0,,13.8,,7.6,2
34.0,55.0,,13.8,12.1,1.9,4
19.0,40.0,,7.3,12.1,4.75,4
19.0,95.0,,7.3,12.1,1.9,0
19.0,61.0,,7.3,,,0
20.0,38.0,0.1,6.9,24.0,0.6,4
11.0,34.0,0.1,6.1,26.4,0.7,4
15.0,34.0,2.8,2.8,40.7,3.1,4
35.0,70.0,4.4,18.9,3.2,3.5,0
10.0,21.0,0.1,2.8,28.1,3.3,1
17.0,39.0,2.2500000000000004,10.2,20.2,3.5,4
5.0,13.0,0.1,3.2,27.3,,1
10.0,42.0,2.0,3.1,0.7,0.1,4
16.0,13.0,2.0,6.4,24.8,0.1,1
6.0,13.0,2.3,9.3,16.8,0.3,1
17.0,57.0,2.2,10.6,20.799999999999997,0.6,0
7.0,17.0,2.2500000000000004,3.7,28.1,0.6,1
